id,nombre,total,nacidos_en_espana,en_la_misma_comunidad_autonoma,misma_comunidad_autonoma_misma_provincia,misma_comunidad_autonoma_misma_provincia_mismo_municipio,misma_comunidad_autonoma_misma_provincia_distinto_municipio,misma_comunidad_autonoma_distinta_provincia,en_distinta_comunidad_autonoma,nacidos_en_el_extranjero
17124,Pals,2461,1858,1646,1356,819,537,290,212,603
17125,Pardines,162,157,149,108,81,27,41,8,5
17126,Parlavà,394,372,361,300,152,148,61,11,22
17128,Pau,547,379,356,305,135,170,51,23,168
17129,Pedret i Marzà,195,167,151,135,57,78,16,16,28
17130,"Pera, La",447,398,377,311,182,129,66,21,49
17132,Peralada,1868,1592,1446,1203,564,639,243,146,276
17133,"Planes d'Hostoles, Les",1660,1483,1419,1238,843,395,181,64,177
17134,Planoles,303,272,252,123,83,40,129,20,31
17135,Pont de Molins,530,455,385,345,59,286,40,70,75
17136,Pontós,247,215,195,139,58,81,56,20,32
17137,Porqueres,4595,4268,3935,3654,1303,2351,281,333,327
17140,"Port de la Selva, El",980,743,627,462,304,158,165,116,237
17138,Portbou,1077,915,643,556,389,167,87,272,162
17139,"Preses, Les",1763,1675,1561,1396,552,844,165,114,88
17141,Puigcerdà,8981,6729,5233,3541,3078,463,1692,1496,2252
17142,Quart,3640,3407,2997,2699,770,1929,298,410,233
17043,Queralbs,186,177,165,100,83,17,65,12,9
17143,Rabós,179,151,141,115,44,71,26,10,28
17144,Regencós,276,242,224,192,95,97,32,18,34
17145,Ribes de Freser,1766,1621,1391,974,725,249,417,230,145
17146,Riells i Viabrea,4002,3665,3044,771,508,263,2273,621,337
17147,Ripoll,10632,9262,7699,5733,4156,1577,1966,1563,1370
17148,Riudarenes,2181,1871,1603,1035,545,490,568,268,310
17149,Riudaura,462,443,424,331,154,177,93,19,19
17150,Riudellots de la Selva,2059,1754,1574,1465,682,783,109,180,305
17151,Riumors,263,220,208,172,64,108,36,12,43
17152,Roses,19319,13076,9627,8148,5969,2179,1479,3449,6243
17153,Rupià,269,226,218,149,72,77,69,8,43
17154,Sales de Llierca,151,120,110,70,31,39,40,10,31
17155,Salt,30622,18981,15338,13888,6281,7607,1450,3643,11641
17157,Sant Andreu Salou,156,149,140,124,55,69,16,9,7
17183,Sant Aniol de Finestres,351,307,295,234,105,129,61,12,44
17158,Sant Climent Sescebes,635,527,395,328,160,168,67,132,108
17159,Sant Feliu de Buixalleu,804,746,686,406,225,181,280,60,58
17160,Sant Feliu de Guíxols,21824,17322,13611,11093,7737,3356,2518,3711,4502
17161,Sant Feliu de Pallerols,1343,1198,1148,924,652,272,224,50,145
17162,Sant Ferriol,245,210,188,136,50,86,52,22,35
17163,Sant Gregori,3740,3543,3300,2914,1132,1782,386,243,197
17164,Sant Hilari Sacalm,5591,4755,4110,3303,2610,693,807,645,836
17165,Sant Jaume de Llierca,840,734,680,599,312,287,81,54,106
17167,Sant Joan de les Abadesses,3224,2974,2652,2048,1498,550,604,322,250
17168,Sant Joan de Mollet,502,462,424,386,115,271,38,38,40
17185,Sant Joan les Fonts,2966,2646,2374,2156,993,1163,218,272,320
17166,Sant Jordi Desvalls,731,649,603,506,246,260,97,46,82
17169,Sant Julià de Ramis,3461,3143,2649,2363,663,1700,286,494,318
17903,Sant Julià del Llor i Bonmatí,1275,1102,995,910,190,720,85,107,173
17171,Sant Llorenç de la Muga,251,195,177,129,52,77,48,18,56
17172,Sant Martí de Llémena,626,561,526,424,130,294,102,35,65
17173,Sant Martí Vell,249,207,184,158,66,92,26,23,42
17174,Sant Miquel de Campmajor,228,217,207,162,88,74,45,10,11
17175,Sant Miquel de Fluvià,746,644,500,392,168,224,108,144,102
17176,Sant Mori,177,133,122,87,43,44,35,11,44
17177,Sant Pau de Segúries,707,659,631,467,232,235,164,28,48
17178,Sant Pere Pescador,2039,1260,1101,922,578,344,179,159,779
17180,Santa Coloma de Farners,12894,10373,8999,7198,4610,2588,1801,1374,2521
17181,Santa Cristina d'Aro,5203,4108,3466,2642,1016,1626,824,642,1095
17182,Santa Llogaia d'Àlguema,363,341,268,252,58,194,16,73,22
17184,Santa Pau,1573,1507,1427,1233,647,586,194,80,66
17186,Sarrià de Ter,5114,4570,3729,3445,912,2533,284,841,544
17187,"Saus, Camallera i Llampaies",848,735,668,519,264,255,149,67,113
17188,"Selva de Mar, La",187,169,146,88,53,35,58,23,18
17190,Serinyà,1108,1019,928,794,367,427,134,91,89
17191,Serra de Daró,210,179,173,144,77,67,29,6,31
17192,Setcases,168,149,142,106,68,38,36,7,19
17193,Sils,5969,5244,4312,2818,1314,1504,1494,932,725
17052,Siurana,162,147,134,116,63,53,18,13,15
17194,Susqueda,97,84,80,52,21,31,28,4,13
17195,"Tallada d'Empordà, La",459,409,383,297,142,155,86,26,50
17196,Terrades,314,281,253,206,84,122,47,28,33
17197,Torrent,165,149,130,108,60,48,22,19,16
17198,Torroella de Fluvià,723,521,466,369,116,253,97,55,202
17199,Torroella de Montgrí,11537,8287,6968,5845,3825,2020,1123,1319,3250
17200,Tortellà,801,713,665,504,261,243,161,48,88
17201,Toses,165,157,152,73,44,29,79,5,8
17202,Tossa de Mar,5584,4239,3203,2234,1827,407,969,1036,1345
17204,Ullà,1139,742,633,535,238,297,98,109,397
17205,Ullastret,286,258,243,211,115,96,32,15,28
17203,Ultramort,214,198,184,151,68,83,33,14,16
17206,Urús,178,157,141,53,30,23,88,16,21
17014,"Vajol, La",85,66,56,41,11,30,15,10,19
17208,"Vall de Bianya, La",1286,1200,1132,973,439,534,159,68,86
17207,"Vall d'en Bas, La",3029,2914,2800,2407,1466,941,393,114,115
17170,Vallfogona de Ripollès,212,199,189,128,93,35,61,10,13
17209,Vall,912,817,725,626,158,468,99,92,95
17210,Ventalló,854,680,635,472,247,225,163,45,174
17211,Verges,1189,1014,922,836,480,356,86,92,175
17212,Vidrà,173,168,165,72,64,8,93,3,5
17213,Vidreres,7740,6615,5428,3357,1971,1386,2071,1187,1125
17214,Vilabertran,951,878,803,739,306,433,64,75,73
17215,Vilablareix,2789,2706,2372,2146,487,1659,226,334,83
17217,Viladamat,466,411,391,327,156,171,64,20,55
17216,Viladasens,204,187,182,157,85,72,25,5,17
17218,Vilademuls,823,689,656,506,265,241,150,33,134
17220,Viladrau,1026,934,860,365,315,50,495,74,92
17221,Vilafant,5443,5052,4001,3654,840,2814,347,1051,391
17223,Vilajuïga,1112,961,830,710,325,385,120,131,151
17224,Vilallonga de Ter,404,343,330,220,154,66,110,13,61
17225,Vilamacolum,312,243,227,201,105,96,26,16,69
17226,Vilamalla,1157,1070,814,733,151,582,81,256,87
17227,Vilamaniscle,208,164,153,115,45,70,38,11,44
17228,Vilanant,399,354,332,277,105,172,55,22,45
17230,Vila,709,592,504,463,149,314,41,88,117
17222,Vilaür,147,129,127,103,47,56,24,2,18
17233,Vilobí d'Onyar,3196,2835,2544,2276,1123,1153,268,291,361
17232,Vilopriu,205,177,165,114,60,54,51,12,28
08001,Abrera,12334,11116,8404,8216,2394,5822,188,2712,1218
08002,Aguilar de Segarra,277,272,260,253,107,146,7,12,5
08014,Aiguafreda,2501,2330,2014,1955,683,1272,59,316,171
08003,Alella,9764,8588,7378,7152,1598,5554,226,1210,1176
08004,Alpens,273,255,249,229,112,117,20,6,18
08005,"Ametlla del Vallès, L'",8496,7698,6709,6556,1630,4926,153,989,798
08006,Arenys de Mar,15533,13255,10933,10492,4712,5780,441,2322,2278
08007,Arenys de Munt,8838,8095,7134,6947,2969,3978,187,961,743
08008,Argençola,219,203,193,172,48,124,21,10,16
08009,Argentona,12295,11434,9664,9427,2982,6445,237,1770,861
08010,Artés,5648,5112,4434,4321,2236,2085,113,678,536
08011,Avià,2250,2128,2037,1893,824,1069,144,91,122
08012,Avinyó,2250,2029,1841,1800,1019,781,41,188,221
08013,Avinyonet del Penedès,1669,1470,1285,1245,446,799,40,185,199
08015,Badalona,217741,182489,137501,135502,75041,60461,1999,44988,35252
08904,Badia del Vallès,13417,12361,8515,8364,1688,6676,151,3846,1056
08016,Bagà,2152,2054,1730,1677,868,809,53,324,98
08017,Balenyà,3783,3396,2906,2839,970,1869,67,490,387
08018,Balsareny,3205,2989,2435,2385,1409,976,50,554,216
08252,Barberà del Vallès,32839,29792,21964,21486,5988,15498,478,7828,3047
08019,Barcelona,1620343,1227613,950741,904603,830655,73948,46138,276872,392730
08020,Begues,6961,6355,5434,5285,1334,3951,149,921,606
08021,Bellprat,74,70,66,59,25,34,7,4,4
08022,Berga,16199,13873,12190,11649,6992,4657,541,1683,2326
08023,Bigues i Riells,9003,8491,7098,6948,1669,5279,150,1393,512
08024,Borredà,456,403,380,345,162,183,35,23,53
08025,"Bruc, El",2027,1857,1637,1611,449,1162,26,220,170
08026,"Brull, El",257,240,233,228,58,170,5,7,17
08027,"Cabanyes, Les",965,921,824,795,239,556,29,97,44
08028,Cabrera d'Anoia,1376,1253,1001,977,76,901,24,252,123
08029,Cabrera de Mar,4664,4239,3715,3628,897,2731,87,524,425
08030,Cabrils,7348,6349,5719,5583,1008,4575,136,630,999
08031,Calaf,3547,2797,2429,2156,1152,1004,273,368,750
08034,Calders,946,910,814,794,245,549,20,96,36
08033,Caldes de Montbui,17449,15445,12572,12245,4965,7280,327,2873,2004
08032,Caldes d'Estrac,2859,2291,1939,1870,461,1409,69,352,568
08035,Calella,18728,14339,11520,10942,5859,5083,578,2819,4389
08037,Calldetenes,2497,2320,2138,2053,546,1507,85,182,177
08038,Callús,2095,1895,1661,1606,722,884,55,234,200
08036,Calonge de Segarra,191,188,184,165,98,67,19,4,3
08039,Campins,515,467,436,411,95,316,25,31,48
08040,Canet de Mar,14583,12841,10665,10301,4548,5753,364,2176,1742
08041,Canovelles,16317,12364,8662,8349,2359,5990,313,3702,3953
08042,Cànoves i Samalús,2995,2787,2215,2170,425,1745,45,572,208
08043,Canyelles,4481,3991,3149,3068,583,2485,81,842,490
08044,Capellades,5211,4810,3867,3769,1458,2311,98,943,401
08045,Capolat,96,94,93,87,23,64,6,1,2
08046,Cardedeu,18165,16385,13900,13458,4746,8712,442,2485,1780
08047,Cardona,4652,4391,3904,3648,3060,588,256,487,261
08048,Carme,783,692,626,610,240,370,16,66,91
08049,Casserres,1572,1519,1439,1369,678,691,70,80,53
08057,Castell de l'Areny,72,70,69,68,11,57,1,1,2
08052,Castellar de n'Hug,165,156,148,143,73,70,5,8,9
08050,Castellar del Riu,165,160,151,143,18,125,8,9,5
08051,Castellar del Vallès,24036,22475,18736,18290,6572,11718,446,3739,1561
08053,Castellbell i el Vilar,3599,3362,2760,2693,1185,1508,67,602,237
08054,Castellbisbal,12332,11416,9142,8988,3002,5986,154,2274,916
08055,Castellcir,728,666,597,585,129,456,12,69,62
08056,Castelldefels,66375,49373,36916,35874,10926,24948,1042,12457,17002
08058,Castellet i la Gornal,2247,2064,1645,1432,479,953,213,419,183
08060,Castellfollit de Riubregós,156,153,149,130,81,49,19,4,3
08059,Castellfollit del Boix,446,427,386,377,159,218,9,41,19
08061,Castellgalí,2053,1950,1583,1536,385,1151,47,367,103
08062,Castellnou de Bages,1319,1266,1103,1075,179,896,28,163,53
08063,Castellolí,610,579,560,544,178,366,16,19,31
08064,Castellterçol,2418,2170,1955,1920,877,1043,35,215,248
08065,Castellví de la Marca,1534,1417,1280,1211,575,636,69,137,117
08066,Castellví de Rosanes,1865,1722,1400,1358,285,1073,42,322,143
08067,Centelles,7423,6895,6025,5897,2370,3527,128,870,528
08268,Cercs,1152,1101,909,890,451,439,19,192,51
08266,Cerdanyola del Vallès,57740,50422,37115,36072,10033,26039,1043,13307,7318
08068,Cervelló,8970,8170,6566,6422,1433,4989,144,1604,800
08069,Collbató,4458,4176,3604,3499,573,2926,105,572,282
08070,Collsuspina,339,328,310,300,104,196,10,18,11
08071,Copons,306,299,270,258,70,188,12,29,7
08072,Corbera de Llobregat,14643,12736,10547,10321,2744,7577,226,2189,1907
08073,Cornellà de Llobregat,87173,70340,47337,46399,16631,29768,938,23003,16833
08074,Cubelles,14992,12970,10116,9733,2182,7551,383,2854,2022
08075,Dosrius,5281,4875,4052,3963,765,3198,89,823,406
08076,Esparreguera,22045,19756,15530,15142,5385,9757,388,4226,2289
08077,Esplugues de Llobregat,46355,38284,26248,25418,8777,16641,830,12036,8071
08078,"Espunyola, L'",258,252,247,219,102,117,28,5,6
08254,"Esquirol, L'",2141,2019,1930,1858,813,1045,72,89,122
08079,"Estany, L'",393,382,353,343,154,189,10,29,11
08134,Figaró,1109,943,790,778,242,536,12,153,166
08080,Fígols,42,40,38,37,12,25,1,2,2
08082,Fogars de la Selva,1467,1358,1040,932,215,717,108,318,109
08081,Fogars de Montclús,466,436,415,399,126,273,16,21,30
08083,Folgueroles,2276,2198,2110,2018,662,1356,92,88,78
08084,Fonollosa,1439,1367,1191,1156,362,794,35,176,72
08085,Font,1354,1203,1121,1092,514,578,29,82,151
08086,"Franqueses del Vallès, Les",19768,17008,13399,13044,3829,9215,355,3609,2760
08090,Gaià,167,155,150,145,45,100,5,5,12
08087,Gallifa,169,156,144,142,43,99,2,12,13
08088,"Garriga, La",16227,14445,12130,11746,4778,6968,384,2315,1782
08089,Gavà,46705,40034,29968,29328,11594,17734,640,10066,6671
08091,Gelida,7371,6537,5446,5319,2206,3113,127,1091,834
08092,Gironella,4834,4317,3785,3670,2158,1512,115,532,517
08093,Gisclareny,26,26,24,22,3,19,2,2,0
08094,"Granada, La",2130,1924,1697,1645,649,996,52,227,206
08095,Granera,80,76,69,68,12,56,1,7,4
08096,Granollers,60981,48717,36869,35598,22066,13532,1271,11848,12264
08097,Gualba,1481,1374,1210,1132,281,851,78,164,107
08099,Guardiola de Berguedà,887,807,686,656,303,353,30,121,80
08100,Gurb,2654,2542,2404,2333,536,1797,71,138,112
08101,"Hospitalet de Llobregat, L'",261068,184540,125020,122241,46754,75487,2779,59520,76528
08162,"Hostalets de Pierola, Els",2930,2630,2277,2235,499,1736,42,353,300
08102,Igualada,39540,33837,28291,26748,20015,6733,1543,5546,5703
08103,Jorba,841,793,712,677,154,523,35,81,48
08104,"Llacuna, La",863,751,694,673,299,374,21,57,112
08105,"Llagosta, La",13367,11278,7797,7680,2353,5327,117,3481,2089
08107,Lliçà d'Amunt,15111,14344,11249,11050,2577,8473,199,3095,767
08108,Lliçà de Vall,6480,6159,4727,4615,1052,3563,112,1432,321
08106,Llinars del Vallès,9838,8719,6921,6701,2373,4328,220,1798,1119
08109,Lluçà,276,263,252,243,88,155,9,11,13
08110,Malgrat de Mar,18439,15709,12161,11264,5513,5751,897,3548,2730
08111,Malla,271,256,252,246,56,190,6,4,15
08112,Manlleu,20194,15768,13317,12801,6496,6305,516,2451,4426
08113,Manresa,76250,61431,51322,49246,36079,13167,2076,10109,14819
08242,Marganell,258,241,209,204,62,142,5,32,17
08114,Martorell,27850,22296,17247,16807,8389,8418,440,5049,5554
08115,Martorelles,4794,4447,3366,3315,903,2412,51,1081,347
08116,"Masies de Roda, Les",704,664,617,598,134,464,19,47,40
08117,"Masies de Voltregà, Les",3124,2962,2592,2484,811,1673,108,370,162
08118,"Masnou, El",23340,20413,16872,16437,5050,11387,435,3541,2927
08119,Masquefa,8641,8031,6570,6457,1642,4815,113,1461,610
08120,Matadepera,9291,8775,8162,7977,1649,6328,185,613,516
08121,Mataró,126988,105016,80107,78089,56367,21722,2018,24909,21972
08122,Mediona,2331,2103,1785,1721,495,1226,64,318,228
08138,Moià,6190,5303,4677,4565,2147,2418,112,626,887
08123,Molins de Rei,25687,23508,19446,18931,7994,10937,515,4062,2179
08124,Mollet del Vallès,51133,43338,31686,31057,15688,15369,629,11652,7795
08128,Monistrol de Calders,677,652,563,553,282,271,10,89,25
08127,Monistrol de Montserrat,2955,2619,2163,2111,1003,1108,52,456,336
08125,Montcada i Reixac,35599,30329,23448,23022,8415,14607,426,6881,5270
08130,Montclar,129,127,126,111,62,49,15,1,2
08131,Montesquiu,968,871,751,668,224,444,83,120,97
08126,Montgat,11819,10678,8788,8608,2144,6464,180,1890,1141
08132,Montmajor,465,435,416,358,227,131,58,19,30
08133,Montmaneu,154,132,126,101,62,39,25,6,22
08135,Montmeló,8784,7895,5536,5406,1936,3470,130,2359,889
08136,Montornès del Vallès,16263,14140,10251,10091,3694,6397,160,3889,2123
08137,Montseny,321,302,284,268,128,140,16,18,19
08129,Muntanyola,620,586,539,520,72,448,19,47,34
08139,Mura,223,213,196,193,68,125,3,17,10
08140,Navarcles,5966,5565,4555,4441,2213,2228,114,1010,401
08141,Navàs,6023,5468,4724,4569,2391,2178,155,744,555
08142,"Nou de Berguedà, La",160,154,145,143,65,78,2,9,6
08143,Òdena,3608,3406,2813,2728,555,2173,85,593,202
08145,Olèrdola,3611,3282,2791,2692,764,1928,99,491,329
08146,Olesa de Bonesvalls,1787,1647,1335,1314,328,986,21,312,140
08147,Olesa de Montserrat,23779,21154,16997,16686,7154,9532,311,4157,2625
08148,Olivella,3729,2911,2291,2228,416,1812,63,620,818
08149,Olost,1188,1124,1041,1004,357,647,37,83,64
08144,Olvan,837,801,741,711,271,440,30,60,36
08150,Orís,310,295,281,270,37,233,11,14,15
08151,Oristà,537,514,502,493,251,242,9,12,23
08152,Orpí,136,131,119,116,44,72,3,12,5
08153,Òrrius,730,704,637,619,157,462,18,67,26
08154,Pacs del Penedès,908,835,699,672,177,495,27,136,73
08155,Palafolls,9256,8551,7034,6024,2304,3720,1010,1517,705
08156,Palau,14636,13443,10952,10734,2792,7942,218,2491,1193
08157,Pallejà,11486,10506,8328,8172,2281,5891,156,2178,980
08905,"Palma de Cervelló, La",2982,2720,2325,2271,360,1911,54,395,262
08158,"Papiol, El",4103,3707,3011,2939,1039,1900,72,696,396
08159,Parets del Vallès,19041,17456,13710,13444,3980,9464,266,3746,1585
08160,Perafita,412,370,357,331,94,237,26,13,42
08161,Piera,15362,13982,11203,10974,2843,8131,229,2779,1380
08163,Pineda de Mar,26659,21816,15973,15202,5705,9497,771,5843,4843
08164,"Pla del Penedès, El",1259,1159,1054,1030,446,584,24,105,100
08165,"Pobla de Claramunt, La",2177,2057,1710,1671,514,1157,39,347,120
08166,"Pobla de Lillet, La",1101,1047,899,851,545,306,48,148,54
08167,Polinyà,8389,7742,6317,6197,1656,4541,120,1425,647
08182,"Pont de Vilomara i Rocafort, El",3801,3547,2813,2760,1268,1492,53,734,254
08168,Pontons,458,397,341,326,65,261,15,56,61
08169,"Prat de Llobregat, El",64132,56540,40449,39683,15766,23917,766,16091,7592
08171,Prats de Lluçanès,2537,2352,2166,2118,939,1179,48,186,185
08170,"Prats de Rei, Els",545,529,488,461,219,242,27,41,16
08230,Premià de Dalt,10429,9266,7465,7273,1884,5389,192,1801,1163
08172,Premià de Mar,28071,23586,18516,18010,6309,11701,506,5070,4485
08174,Puigdàlber,518,493,435,423,147,276,12,58,25
08175,Puig,4094,3775,3278,3175,1894,1281,103,497,319
08176,Pujalt,207,193,190,164,102,62,26,3,14
08177,"Quar, La",60,54,50,45,7,38,5,4,6
08178,Rajadell,539,520,459,449,111,338,10,61,19
08179,Rellinars,747,710,620,612,107,505,8,90,37
08180,Ripollet,38347,32891,24553,24146,7826,16320,407,8338,5456
08181,"Roca del Vallès, La",10666,9939,8116,7898,2547,5351,218,1823,727
08183,Roda de Ter,6197,5525,4861,4694,1802,2892,167,664,672
08184,Rubí,76423,63891,47942,46813,14606,32207,1129,15949,12532
08185,Rubió,232,221,198,191,50,141,7,23,11
08901,Rupit i Pruit,279,254,246,221,124,97,25,8,25
08187,Sabadell,211734,181780,141157,136967,105090,31877,4190,40623,29954
08188,Sagàs,161,159,155,154,69,85,1,4,2
08190,Saldes,265,261,234,224,89,135,10,27,4
08191,Sallent,6636,6151,5114,5012,3475,1537,102,1037,485
08194,Sant Adrià de Besòs,36669,30629,23242,22915,4580,18335,327,7387,6040
08195,Sant Agustí de Lluçanès,87,85,82,75,18,57,7,3,2
08196,Sant Andreu de la Barca,27332,23826,17613,17226,5893,11333,387,6213,3506
08197,Sant Andreu de Llavaneres,10877,9392,8084,7870,2126,5744,214,1308,1485
08198,Sant Antoni de Vilamajor,6095,5578,4845,4711,1273,3438,134,733,517
08199,Sant Bartomeu del Grau,840,754,686,654,158,496,32,68,86
